label,dynamic_cum,xagusd_cum,improvement,total_trades,switch_pct,win_rate,sharpe,strength_weight,min_score_diff,holding_period,seasonal
sw=2.0_msd=2.0_hp=3_sf=True,220.01,231.76,-11.75,828,49.8,51.9,1.01,2.0,2.0,3,True
sw=1.0_msd=2.0_hp=3_sf=True,219.11,231.76,-12.65,828,42.6,51.3,1.01,1.0,2.0,3,True
sw=1.0_msd=1.0_hp=3_sf=True,217.06,231.76,-14.7,828,53.5,51.9,1.0,1.0,1.0,3,True
sw=1.0_msd=2.0_hp=1_sf=False,82.48,97.61,-15.12,997,38.7,52.3,0.53,1.0,2.0,1,False
sw=2.0_msd=2.0_hp=3_sf=False,226.18,242.62,-16.45,995,46.5,51.9,0.89,2.0,2.0,3,False
sw=2.0_msd=2.0_hp=5_sf=True,379.99,397.22,-17.23,826,49.8,53.0,1.36,2.0,2.0,5,True
sw=1.0_msd=2.0_hp=5_sf=True,379.89,397.22,-17.32,826,42.6,52.8,1.36,1.0,2.0,5,True
sw=1.0_msd=2.0_hp=3_sf=False,224.96,242.62,-17.66,995,38.8,51.5,0.88,1.0,2.0,3,False
sw=0.5_msd=0.5_hp=3_sf=True,214.05,231.76,-17.71,828,56.5,52.1,0.99,0.5,0.5,3,True
sw=1.0_msd=2.0_hp=1_sf=True,74.25,92.13,-17.88,830,42.5,52.9,0.55,1.0,2.0,1,True
sw=0.5_msd=0.0_hp=5_sf=True,378.81,397.22,-18.4,826,66.6,52.2,1.36,0.5,0.0,5,True
sw=1.0_msd=0.0_hp=3_sf=True,212.98,231.76,-18.78,828,63.6,52.1,0.99,1.0,0.0,3,True
sw=0.5_msd=1.0_hp=3_sf=True,212.46,231.76,-19.3,828,47.8,51.3,0.98,0.5,1.0,3,True
sw=1.0_msd=0.5_hp=3_sf=True,212.44,231.76,-19.32,828,59.2,51.9,0.98,1.0,0.5,3,True
sw=0.5_msd=1.0_hp=5_sf=True,377.47,397.22,-19.75,826,47.8,52.7,1.36,0.5,1.0,5,True
sw=0.0_msd=2.0_hp=1_sf=True,72.33,92.13,-19.8,830,28.2,52.3,0.53,0.0,2.0,1,True
sw=2.0_msd=2.0_hp=1_sf=True,71.96,92.13,-20.17,830,49.9,53.3,0.53,2.0,2.0,1,True
sw=1.0_msd=1.0_hp=5_sf=True,376.9,397.22,-20.32,826,53.5,52.7,1.36,1.0,1.0,5,True
sw=0.5_msd=0.5_hp=5_sf=True,376.6,397.22,-20.61,826,56.5,52.4,1.36,0.5,0.5,5,True
sw=2.0_msd=0.0_hp=3_sf=True,210.92,231.76,-20.84,828,61.8,51.8,0.97,2.0,0.0,3,True
sw=1.0_msd=0.0_hp=5_sf=True,376.37,397.22,-20.85,826,63.7,52.5,1.35,1.0,0.0,5,True
sw=1.0_msd=0.5_hp=5_sf=True,376.29,397.22,-20.93,826,59.2,52.7,1.35,1.0,0.5,5,True
sw=1.0_msd=0.5_hp=1_sf=True,71.07,92.13,-21.07,830,59.3,53.0,0.53,1.0,0.5,1,True
sw=2.0_msd=2.0_hp=1_sf=False,76.09,97.61,-21.52,997,46.6,52.7,0.48,2.0,2.0,1,False
sw=1.0_msd=0.5_hp=1_sf=False,75.64,97.61,-21.97,997,56.5,52.8,0.48,1.0,0.5,1,False
sw=0.5_msd=0.5_hp=1_sf=True,69.98,92.13,-22.16,830,56.6,53.1,0.52,0.5,0.5,1,True
sw=2.0_msd=0.0_hp=5_sf=True,374.7,397.22,-22.52,826,61.9,52.7,1.34,2.0,0.0,5,True
sw=1.0_msd=0.0_hp=1_sf=True,69.29,92.13,-22.84,830,63.7,53.3,0.52,1.0,0.0,1,True
sw=1.0_msd=1.0_hp=1_sf=True,69.26,92.13,-22.87,830,53.6,53.0,0.51,1.0,1.0,1,True
sw=1.0_msd=0.0_hp=1_sf=False,74.48,97.61,-23.13,997,61.6,53.0,0.48,1.0,0.0,1,False
sw=0.5_msd=1.0_hp=1_sf=True,68.93,92.13,-23.2,830,47.8,52.5,0.51,0.5,1.0,1,True
sw=0.5_msd=0.0_hp=3_sf=True,208.53,231.76,-23.23,828,66.5,51.9,0.97,0.5,0.0,3,True
sw=2.0_msd=1.0_hp=3_sf=True,208.5,231.76,-23.26,828,56.8,51.8,0.96,2.0,1.0,3,True
sw=0.0_msd=2.0_hp=1_sf=False,74.3,97.61,-23.31,997,26.0,51.8,0.47,0.0,2.0,1,False
sw=2.0_msd=0.5_hp=5_sf=True,373.69,397.22,-23.52,826,59.0,52.9,1.34,2.0,0.5,5,True
sw=2.0_msd=1.0_hp=1_sf=False,73.98,97.61,-23.63,997,53.7,52.9,0.47,2.0,1.0,1,False
sw=2.0_msd=0.5_hp=3_sf=True,208.13,231.76,-23.63,828,58.9,51.8,0.96,2.0,0.5,3,True
sw=0.5_msd=2.0_hp=1_sf=True,68.21,92.13,-23.92,830,31.7,52.5,0.5,0.5,2.0,1,True
sw=2.0_msd=1.0_hp=1_sf=True,68.04,92.13,-24.09,830,56.9,53.1,0.5,2.0,1.0,1,True
sw=0.0_msd=2.0_hp=3_sf=True,207.16,231.76,-24.6,828,28.3,51.0,0.94,0.0,2.0,3,True
sw=2.0_msd=1.0_hp=5_sf=True,372.56,397.22,-24.66,826,56.8,52.8,1.34,2.0,1.0,5,True
sw=0.5_msd=1.0_hp=1_sf=False,72.89,97.61,-24.71,997,44.7,52.0,0.47,0.5,1.0,1,False
sw=0.5_msd=2.0_hp=1_sf=False,72.85,97.61,-24.76,997,28.6,52.0,0.47,0.5,2.0,1,False
sw=1.0_msd=0.0_hp=3_sf=False,217.72,242.62,-24.9,995,61.5,51.9,0.86,1.0,0.0,3,False
sw=2.0_msd=0.0_hp=1_sf=False,72.68,97.61,-24.93,997,59.4,52.8,0.46,2.0,0.0,1,False
sw=0.5_msd=0.5_hp=1_sf=False,71.96,97.61,-25.65,997,53.7,52.6,0.46,0.5,0.5,1,False
sw=2.0_msd=0.5_hp=1_sf=False,71.82,97.61,-25.79,997,56.1,52.9,0.46,2.0,0.5,1,False
sw=2.0_msd=0.0_hp=1_sf=True,66.3,92.13,-25.84,830,61.9,53.0,0.49,2.0,0.0,1,True
sw=1.0_msd=1.0_hp=3_sf=False,216.73,242.62,-25.9,995,50.4,51.8,0.85,1.0,1.0,3,False
sw=2.0_msd=0.0_hp=3_sf=False,216.41,242.62,-26.22,995,59.3,51.7,0.85,2.0,0.0,3,False
sw=1.0_msd=1.0_hp=1_sf=False,71.25,97.61,-26.36,997,50.5,52.5,0.45,1.0,1.0,1,False
sw=0.5_msd=0.0_hp=1_sf=False,71.23,97.61,-26.38,997,64.2,52.8,0.46,0.5,0.0,1,False
sw=2.0_msd=0.5_hp=1_sf=True,65.7,92.13,-26.43,830,59.0,53.1,0.49,2.0,0.5,1,True
sw=0.5_msd=0.5_hp=3_sf=False,215.56,242.62,-27.06,995,53.6,52.1,0.85,0.5,0.5,3,False
sw=0.5_msd=0.0_hp=1_sf=True,64.81,92.13,-27.32,830,66.6,53.0,0.48,0.5,0.0,1,True
sw=0.0_msd=2.0_hp=5_sf=True,368.4,397.22,-28.82,826,28.2,52.2,1.31,0.0,2.0,5,True
sw=2.0_msd=2.0_hp=5_sf=False,374.42,403.43,-29.01,993,46.5,53.4,1.14,2.0,2.0,5,False
sw=0.5_msd=0.0_hp=3_sf=False,213.6,242.62,-29.02,995,64.1,51.9,0.84,0.5,0.0,3,False
sw=0.5_msd=1.0_hp=3_sf=False,212.73,242.62,-29.9,995,44.7,51.6,0.84,0.5,1.0,3,False
sw=1.0_msd=0.5_hp=3_sf=False,211.75,242.62,-30.87,995,56.4,51.6,0.83,1.0,0.5,3,False
sw=2.0_msd=0.5_hp=3_sf=False,211.52,242.62,-31.1,995,56.0,51.6,0.83,2.0,0.5,3,False
sw=0.5_msd=0.0_hp=5_sf=False,371.23,403.43,-32.2,993,64.1,52.4,1.14,0.5,0.0,5,False
sw=2.0_msd=1.0_hp=3_sf=False,210.42,242.62,-32.2,995,53.6,51.6,0.82,2.0,1.0,3,False
sw=0.0_msd=0.0_hp=1_sf=True,58.23,92.13,-33.9,830,40.6,51.6,0.43,0.0,0.0,1,True
sw=0.0_msd=0.5_hp=1_sf=True,58.23,92.13,-33.9,830,40.6,51.6,0.43,0.0,0.5,1,True
sw=0.0_msd=1.0_hp=1_sf=True,58.23,92.13,-33.9,830,40.6,51.6,0.43,0.0,1.0,1,True
sw=0.0_msd=2.0_hp=3_sf=False,208.65,242.62,-33.98,995,26.0,51.4,0.81,0.0,2.0,3,False
sw=2.0_msd=0.0_hp=5_sf=False,369.25,403.43,-34.18,993,59.3,52.8,1.13,2.0,0.0,5,False
sw=0.0_msd=1.0_hp=1_sf=False,63.34,97.61,-34.27,997,37.8,51.2,0.41,0.0,1.0,1,False
sw=0.0_msd=0.0_hp=1_sf=False,63.34,97.61,-34.27,997,37.8,51.2,0.41,0.0,0.0,1,False
sw=0.0_msd=0.5_hp=1_sf=False,63.34,97.61,-34.27,997,37.8,51.2,0.41,0.0,0.5,1,False
sw=1.0_msd=2.0_hp=5_sf=False,368.88,403.43,-34.55,993,38.8,53.0,1.12,1.0,2.0,5,False
sw=1.0_msd=0.0_hp=5_sf=False,368.03,403.43,-35.4,993,61.5,52.7,1.12,1.0,0.0,5,False
sw=0.5_msd=2.0_hp=3_sf=True,194.33,231.76,-37.43,828,31.8,51.1,0.89,0.5,2.0,3,True
sw=2.0_msd=0.5_hp=5_sf=False,365.99,403.43,-37.45,993,56.0,53.0,1.11,2.0,0.5,5,False
sw=2.0_msd=1.0_hp=5_sf=False,364.72,403.43,-38.71,993,53.6,53.0,1.11,2.0,1.0,5,False
sw=0.5_msd=0.5_hp=5_sf=False,364.69,403.43,-38.74,993,53.6,52.9,1.12,0.5,0.5,5,False
sw=0.5_msd=2.0_hp=5_sf=True,357.5,397.22,-39.72,826,31.7,52.5,1.27,0.5,2.0,5,True
sw=1.0_msd=0.5_hp=5_sf=False,363.71,403.43,-39.72,993,56.4,52.9,1.11,1.0,0.5,5,False
sw=1.0_msd=1.0_hp=5_sf=False,363.37,403.43,-40.06,993,50.4,53.1,1.11,1.0,1.0,5,False
sw=0.0_msd=2.0_hp=5_sf=False,362.5,403.43,-40.93,993,26.0,52.6,1.1,0.0,2.0,5,False
sw=0.5_msd=1.0_hp=5_sf=False,361.23,403.43,-42.2,993,44.7,53.0,1.11,0.5,1.0,5,False
sw=0.5_msd=2.0_hp=3_sf=False,199.41,242.62,-43.21,995,28.6,51.3,0.78,0.5,2.0,3,False
sw=0.0_msd=0.5_hp=5_sf=True,353.69,397.22,-43.53,826,40.6,51.7,1.26,0.0,0.5,5,True
sw=0.0_msd=0.0_hp=5_sf=True,353.69,397.22,-43.53,826,40.6,51.7,1.26,0.0,0.0,5,True
sw=0.0_msd=1.0_hp=5_sf=True,353.69,397.22,-43.53,826,40.6,51.7,1.26,0.0,1.0,5,True
sw=0.0_msd=1.0_hp=3_sf=True,186.21,231.76,-45.55,828,40.6,51.1,0.85,0.0,1.0,3,True
sw=0.0_msd=0.5_hp=3_sf=True,186.21,231.76,-45.55,828,40.6,51.1,0.85,0.0,0.5,3,True
sw=0.0_msd=0.0_hp=3_sf=True,186.21,231.76,-45.55,828,40.6,51.1,0.85,0.0,0.0,3,True
sw=0.0_msd=0.0_hp=5_sf=False,356.59,403.43,-46.84,993,37.8,52.3,1.08,0.0,0.0,5,False
sw=0.0_msd=0.5_hp=5_sf=False,356.59,403.43,-46.84,993,37.8,52.3,1.08,0.0,0.5,5,False
sw=0.0_msd=1.0_hp=5_sf=False,356.59,403.43,-46.84,993,37.8,52.3,1.08,0.0,1.0,5,False
sw=0.0_msd=0.5_hp=3_sf=False,193.47,242.62,-49.15,995,37.8,51.5,0.75,0.0,0.5,3,False
sw=0.0_msd=0.0_hp=3_sf=False,193.47,242.62,-49.15,995,37.8,51.5,0.75,0.0,0.0,3,False
sw=0.0_msd=1.0_hp=3_sf=False,193.47,242.62,-49.15,995,37.8,51.5,0.75,0.0,1.0,3,False
sw=0.5_msd=2.0_hp=5_sf=False,351.15,403.43,-52.29,993,28.6,52.8,1.06,0.5,2.0,5,False
