entry_time,exit_time,dir,pnl,result,exit_type,month
2025-01-01 00:00:00+00:00,2025-01-02 01:45:00+00:00,-1,-38.0042857142854,loss,SL,2025-01
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,1,-17.958214285710028,loss,SL,2025-01
2025-01-03 12:00:00+00:00,2025-01-03 16:00:00+00:00,-1,21.288214285715412,win,HALF+SL,2025-01
2025-01-06 12:00:00+00:00,2025-01-06 12:15:00+00:00,-1,-12.873571428573882,loss,SL,2025-01
2025-01-07 15:00:00+00:00,2025-01-07 18:30:00+00:00,1,39.49464285714157,win,HALF+SL,2025-01
2025-01-09 10:00:00+00:00,2025-01-09 14:00:00+00:00,1,-45.34821428571547,loss,SL,2025-01
2025-01-10 01:00:00+00:00,2025-01-10 15:30:00+00:00,1,58.067857142859225,win,HALF+SL,2025-01
2025-01-14 02:00:00+00:00,2025-01-14 03:30:00+00:00,-1,-54.52107142857017,loss,SL,2025-01
2025-01-15 04:00:00+00:00,2025-01-15 09:00:00+00:00,-1,94.3342857142909,win,HALF+TP,2025-01
2025-01-17 10:00:00+00:00,2025-01-17 11:00:00+00:00,-1,18.621964285713943,win,HALF+SL,2025-01
2025-01-17 14:00:00+00:00,2025-01-17 16:15:00+00:00,-1,-18.21178571428561,loss,SL,2025-01
2025-01-20 14:00:00+00:00,2025-01-20 15:30:00+00:00,-1,26.067142857144177,win,HALF+SL,2025-01
2025-01-21 02:00:00+00:00,2025-01-22 17:30:00+00:00,-1,-100.09785714285897,loss,SL,2025-01
2025-01-24 00:00:00+00:00,2025-01-24 05:30:00+00:00,1,-36.07142857142662,loss,SL,2025-01
2025-01-24 16:00:00+00:00,2025-01-24 17:00:00+00:00,-1,29.272142857146832,win,HALF+SL,2025-01
2025-01-24 20:00:00+00:00,2025-01-28 06:00:00+00:00,-1,88.35892857143222,win,HALF+SL,2025-01
2025-01-28 11:00:00+00:00,2025-01-28 17:45:00+00:00,-1,26.68250000000114,win,HALF+SL,2025-01
2025-01-29 15:00:00+00:00,2025-01-29 16:45:00+00:00,-1,17.58321428571321,win,HALF+SL,2025-01
2025-01-31 09:00:00+00:00,2025-01-31 15:30:00+00:00,-1,-27.87357142857161,loss,SL,2025-01
2025-01-31 17:00:00+00:00,2025-01-31 20:15:00+00:00,-1,-43.101428571426936,loss,SL,2025-01
2025-02-07 15:00:00+00:00,2025-02-07 15:30:00+00:00,-1,43.95857142857267,win,HALF+SL,2025-02
2025-02-10 03:00:00+00:00,2025-02-10 10:30:00+00:00,-1,-60.05749999999637,loss,SL,2025-02
2025-02-10 22:00:00+00:00,2025-02-11 03:15:00+00:00,-1,10.84321428571684,win,HALF+SL,2025-02
2025-02-11 05:00:00+00:00,2025-02-11 08:15:00+00:00,-1,9.915357142855896,win,HALF+SL,2025-02
2025-02-11 09:00:00+00:00,2025-02-11 10:00:00+00:00,-1,-16.2399999999991,loss,SL,2025-02
2025-02-13 14:00:00+00:00,2025-02-13 15:30:00+00:00,1,14.34482142857405,win,HALF+SL,2025-02
2025-02-18 08:00:00+00:00,2025-02-18 20:45:00+00:00,-1,22.682142857144072,win,HALF+SL,2025-02
2025-02-18 22:00:00+00:00,2025-02-19 04:00:00+00:00,-1,-31.81250000000091,loss,SL,2025-02
2025-02-21 11:00:00+00:00,2025-02-21 14:45:00+00:00,-1,23.47000000000321,win,HALF+SL,2025-02
2025-02-24 11:00:00+00:00,2025-02-24 12:00:00+00:00,-1,-19.16017857142549,loss,SL,2025-02
2025-02-24 20:00:00+00:00,2025-02-25 02:00:00+00:00,-1,-35.458928571426895,loss,SL,2025-02
2025-02-26 06:00:00+00:00,2025-02-27 03:45:00+00:00,-1,58.283214285719964,win,HALF+SL,2025-02
2025-02-28 00:00:00+00:00,2025-02-28 07:45:00+00:00,-1,40.190000000004034,win,HALF+SL,2025-02
2025-03-03 09:00:00+00:00,2025-03-03 09:45:00+00:00,1,-25.14571428571628,loss,SL,2025-03
2025-03-04 20:00:00+00:00,2025-03-05 16:15:00+00:00,1,72.32249999999851,win,HALF+SL,2025-03
2025-03-06 04:00:00+00:00,2025-03-06 11:00:00+00:00,-1,150.9542857142776,win,HALF+TP,2025-03
2025-03-07 23:00:00+00:00,2025-03-10 13:15:00+00:00,-1,116.61428571428019,win,HALF+TP,2025-03
2025-03-11 08:00:00+00:00,2025-03-11 12:30:00+00:00,-1,-52.987142857142544,loss,SL,2025-03
2025-03-11 18:00:00+00:00,2025-03-12 07:00:00+00:00,-1,-80.7321428571413,loss,SL,2025-03
2025-03-13 03:00:00+00:00,2025-03-13 04:00:00+00:00,1,-22.32071428571203,loss,SL,2025-03
2025-03-14 00:00:00+00:00,2025-03-17 21:45:00+00:00,1,180.20285714285933,win,HALF+TP,2025-03
2025-03-18 23:00:00+00:00,2025-03-19 05:15:00+00:00,1,20.26678571428704,win,HALF+SL,2025-03
2025-03-19 20:00:00+00:00,2025-03-19 21:00:00+00:00,-1,22.805357142860316,win,HALF+SL,2025-03
2025-03-21 13:00:00+00:00,2025-03-24 00:30:00+00:00,-1,29.608928571428805,win,HALF+SL,2025-03
2025-03-25 22:00:00+00:00,2025-03-27 12:15:00+00:00,1,126.31999999999266,win,HALF+TP,2025-03
2025-03-28 04:00:00+00:00,2025-03-28 09:30:00+00:00,1,-28.68321428571221,loss,SL,2025-03
2025-03-28 12:00:00+00:00,2025-03-28 16:00:00+00:00,1,18.438928571430324,win,HALF+SL,2025-03
2025-03-31 20:00:00+00:00,2025-04-03 12:00:00+00:00,-1,429.79285714285993,win,HALF+TP,2025-03
2025-04-04 22:00:00+00:00,2025-04-07 01:00:00+00:00,-1,242.38428571429154,win,HALF+TP,2025-04
2025-04-07 13:00:00+00:00,2025-04-07 15:15:00+00:00,-1,-90.12428571428472,loss,SL,2025-04
2025-04-08 16:00:00+00:00,2025-04-09 20:15:00+00:00,-1,108.54214285714079,win,HALF+SL,2025-04
2025-04-14 00:00:00+00:00,2025-04-14 04:00:00+00:00,-1,162.84857142857732,win,HALF+TP,2025-04
2025-04-15 20:00:00+00:00,2025-04-16 03:00:00+00:00,-1,20.044285714286048,win,HALF+SL,2025-04
2025-04-16 12:00:00+00:00,2025-04-17 04:00:00+00:00,-1,38.821428571429806,win,HALF+SL,2025-04
2025-04-17 14:00:00+00:00,2025-04-17 19:30:00+00:00,-1,52.54500000000348,win,HALF+SL,2025-04
2025-04-24 12:00:00+00:00,2025-04-24 12:45:00+00:00,1,-18.2974999999999,loss,SL,2025-04
2025-04-24 15:00:00+00:00,2025-04-25 06:45:00+00:00,1,129.54642857143313,win,HALF+TP,2025-04
2025-04-28 12:00:00+00:00,2025-04-28 15:15:00+00:00,1,-30.664285714286166,loss,SL,2025-04
2025-04-29 14:00:00+00:00,2025-04-29 15:45:00+00:00,-1,47.16142857143382,win,HALF+TP,2025-04
2025-05-02 16:00:00+00:00,2025-05-02 16:15:00+00:00,1,-37.14660714285287,loss,SL,2025-05
2025-05-02 18:00:00+00:00,2025-05-02 21:30:00+00:00,1,128.75857142856262,win,HALF+TP,2025-05
2025-05-05 17:00:00+00:00,2025-05-05 17:15:00+00:00,1,15.82892857143463,win,HALF+SL,2025-05
2025-05-05 19:00:00+00:00,2025-05-06 10:15:00+00:00,1,-47.773571428572836,loss,SL,2025-05
2025-05-07 01:00:00+00:00,2025-05-07 01:15:00+00:00,-1,-64.19357142857223,loss,SL,2025-05
2025-05-07 07:00:00+00:00,2025-05-07 10:15:00+00:00,-1,24.13821428571623,win,HALF+SL,2025-05
2025-05-07 13:00:00+00:00,2025-05-07 17:00:00+00:00,-1,16.050357142859184,win,HALF+SL,2025-05
2025-05-09 16:00:00+00:00,2025-05-12 10:30:00+00:00,1,349.51428571428664,win,HALF+TP,2025-05
2025-05-14 00:00:00+00:00,2025-05-14 01:00:00+00:00,1,-14.045892857143372,loss,SL,2025-05
2025-05-14 03:00:00+00:00,2025-05-14 04:00:00+00:00,1,-26.074107142858338,loss,SL,2025-05
2025-05-14 20:00:00+00:00,2025-05-15 09:45:00+00:00,1,-118.45785714285455,loss,SL,2025-05
2025-05-16 14:00:00+00:00,2025-05-21 20:15:00+00:00,-1,297.3342857142768,win,HALF+TP,2025-05
2025-05-22 01:00:00+00:00,2025-05-22 13:30:00+00:00,-1,75.4725000000036,win,HALF+SL,2025-05
2025-05-22 18:00:00+00:00,2025-05-27 10:45:00+00:00,-1,67.1421428571449,win,HALF+SL,2025-05
2025-05-29 15:00:00+00:00,2025-05-29 15:15:00+00:00,1,-37.7671428571432,loss,SL,2025-05
2025-06-03 06:00:00+00:00,2025-06-03 08:45:00+00:00,-1,18.43964285714037,win,HALF+SL,2025-06
2025-06-04 12:00:00+00:00,2025-06-05 18:30:00+00:00,-1,53.86678571428831,win,HALF+SL,2025-06
2025-06-09 09:00:00+00:00,2025-06-09 09:15:00+00:00,1,-8.866071428573719,loss,SL,2025-06
2025-06-10 08:00:00+00:00,2025-06-11 15:30:00+00:00,1,-58.62250000000131,loss,SL,2025-06
2025-06-18 11:00:00+00:00,2025-06-18 21:00:00+00:00,1,-58.37535714285593,loss,SL,2025-06
2025-06-20 11:00:00+00:00,2025-06-23 00:00:00+00:00,1,119.55999999998426,win,HALF+TP,2025-06
2025-06-25 08:00:00+00:00,2025-06-26 02:45:00+00:00,1,38.34321428571741,win,HALF+SL,2025-06
2025-06-27 01:00:00+00:00,2025-06-27 01:30:00+00:00,-1,-19.16214285714375,loss,SL,2025-06
2025-06-27 12:00:00+00:00,2025-06-27 17:30:00+00:00,-1,-40.47446428571391,loss,SL,2025-06
2025-06-27 19:00:00+00:00,2025-06-30 03:45:00+00:00,-1,22.31357142857462,win,HALF+SL,2025-06
2025-06-30 17:00:00+00:00,2025-06-30 19:15:00+00:00,-1,16.471071428571804,win,HALF+SL,2025-06
2025-07-01 21:00:00+00:00,2025-07-02 10:30:00+00:00,-1,-33.831785714284024,loss,SL,2025-07
2025-07-02 16:00:00+00:00,2025-07-03 06:45:00+00:00,-1,39.93928571428853,win,HALF+SL,2025-07
2025-07-04 14:00:00+00:00,2025-07-07 03:00:00+00:00,1,17.75607142857325,win,HALF+SL,2025-07
2025-07-10 05:00:00+00:00,2025-07-10 07:30:00+00:00,1,61.54714285714249,win,HALF+TP,2025-07
2025-07-10 08:00:00+00:00,2025-07-10 21:45:00+00:00,1,49.614642857144986,win,HALF+SL,2025-07
2025-07-11 00:00:00+00:00,2025-07-11 02:00:00+00:00,1,-11.81607142856933,loss,SL,2025-07
2025-07-17 00:00:00+00:00,2025-07-21 09:30:00+00:00,1,95.89857142857454,win,HALF+SL,2025-07
2025-07-24 15:00:00+00:00,2025-07-24 15:30:00+00:00,-1,-21.641071428570058,loss,SL,2025-07
2025-07-24 17:00:00+00:00,2025-07-24 18:00:00+00:00,-1,-36.996428571424644,loss,SL,2025-07
2025-07-30 00:00:00+00:00,2025-07-30 15:30:00+00:00,-1,34.34142857142888,win,HALF+SL,2025-07
2025-08-01 13:00:00+00:00,2025-08-01 15:30:00+00:00,-1,41.87071428571585,win,HALF+SL,2025-08
2025-08-05 20:00:00+00:00,2025-08-06 23:30:00+00:00,-1,33.44857142857336,win,HALF+SL,2025-08
2025-08-07 17:00:00+00:00,2025-08-08 04:15:00+00:00,-1,45.2803571428575,win,HALF+SL,2025-08
2025-08-12 16:00:00+00:00,2025-08-14 04:00:00+00:00,-1,206.9371428571401,win,HALF+TP,2025-08
2025-08-15 22:00:00+00:00,2025-08-18 02:15:00+00:00,-1,-14.752857142855191,loss,SL,2025-08
2025-08-19 11:00:00+00:00,2025-08-19 16:45:00+00:00,1,18.209285714291923,win,HALF+SL,2025-08
2025-08-19 22:00:00+00:00,2025-08-20 03:00:00+00:00,1,34.60285714286897,win,HALF+TP,2025-08
2025-08-20 08:00:00+00:00,2025-08-20 09:00:00+00:00,1,-19.56678571428654,loss,SL,2025-08
2025-08-21 03:00:00+00:00,2025-08-21 09:15:00+00:00,-1,-21.178214285717445,loss,SL,2025-08
2025-08-22 16:00:00+00:00,2025-08-22 16:15:00+00:00,-1,19.429999999994152,win,HALF+TP,2025-08
2025-08-26 01:00:00+00:00,2025-08-26 03:00:00+00:00,-1,22.160714285718086,win,HALF+SL,2025-08
2025-08-26 08:00:00+00:00,2025-08-26 09:45:00+00:00,-1,12.34571428571769,win,HALF+SL,2025-08
2025-08-27 16:00:00+00:00,2025-08-27 16:30:00+00:00,-1,12.909285714289354,win,HALF+SL,2025-08
2025-08-29 23:00:00+00:00,2025-09-02 04:30:00+00:00,-1,-46.86535714285469,loss,SL,2025-08
2025-09-03 21:00:00+00:00,2025-09-04 04:30:00+00:00,1,-18.903928571427286,loss,SL,2025-09
2025-09-04 11:00:00+00:00,2025-09-04 15:15:00+00:00,1,-27.226428571430006,loss,SL,2025-09
2025-09-05 06:00:00+00:00,2025-09-05 15:00:00+00:00,1,-12.051428571427891,loss,SL,2025-09
2025-09-08 08:00:00+00:00,2025-09-09 09:00:00+00:00,-1,175.0728571428624,win,HALF+TP,2025-09
2025-09-10 00:00:00+00:00,2025-09-10 04:00:00+00:00,-1,-8.738928571429483,loss,SL,2025-09
2025-09-10 17:00:00+00:00,2025-09-11 09:00:00+00:00,-1,-33.19071428571192,loss,SL,2025-09
2025-09-12 08:00:00+00:00,2025-09-12 21:15:00+00:00,1,54.53321428571485,win,HALF+SL,2025-09
2025-09-22 13:00:00+00:00,2025-09-22 14:45:00+00:00,1,-10.479999999998313,loss,SL,2025-09
2025-09-23 06:00:00+00:00,2025-09-23 11:45:00+00:00,1,-21.136785714281814,loss,SL,2025-09
2025-09-23 13:00:00+00:00,2025-09-23 20:30:00+00:00,1,11.080357142861885,win,HALF+SL,2025-09
2025-09-24 02:00:00+00:00,2025-09-24 11:15:00+00:00,1,65.42142857144313,win,HALF+TP,2025-09
2025-09-26 19:00:00+00:00,2025-09-29 02:15:00+00:00,1,-12.124999999997499,loss,SL,2025-09
2025-10-03 01:00:00+00:00,2025-10-03 03:00:00+00:00,-1,8.230000000003201,win,HALF+SL,2025-10
2025-10-03 10:00:00+00:00,2025-10-06 00:00:00+00:00,-1,22.48428571429031,win,HALF+SL,2025-10
2025-10-10 08:00:00+00:00,2025-10-10 18:00:00+00:00,1,-64.63464285714053,loss,SL,2025-10
2025-10-13 08:00:00+00:00,2025-10-15 05:30:00+00:00,1,-81.86857142856923,loss,SL,2025-10
2025-10-17 23:00:00+00:00,2025-10-17 23:45:00+00:00,-1,-14.022500000001514,loss,SL,2025-10
2025-10-20 04:00:00+00:00,2025-10-21 04:45:00+00:00,-1,30.977142857145168,win,HALF+SL,2025-10
2025-10-27 11:00:00+00:00,2025-10-27 14:15:00+00:00,1,-39.05107142856821,loss,SL,2025-10
2025-10-27 21:00:00+00:00,2025-10-28 01:45:00+00:00,1,-32.72249999999701,loss,SL,2025-10
2025-11-06 05:00:00+00:00,2025-11-06 09:30:00+00:00,1,-17.089285714286007,loss,SL,2025-11
2025-11-07 10:00:00+00:00,2025-11-07 16:00:00+00:00,-1,16.22678571428935,win,HALF+SL,2025-11
2025-11-07 23:00:00+00:00,2025-11-10 00:00:00+00:00,-1,-19.647857142857106,loss,SL,2025-11
2025-11-11 17:00:00+00:00,2025-11-14 14:45:00+00:00,1,34.63892857143378,win,HALF+SL,2025-11
2025-11-21 11:00:00+00:00,2025-11-21 17:00:00+00:00,1,-38.6492857142855,loss,SL,2025-11
2025-11-24 01:00:00+00:00,2025-11-25 10:45:00+00:00,1,24.531071428575046,win,HALF+SL,2025-11
2025-11-26 17:00:00+00:00,2025-11-27 02:00:00+00:00,-1,57.09428571428248,win,HALF+TP,2025-11
2025-11-27 13:00:00+00:00,2025-11-28 02:45:00+00:00,-1,-14.344642857142276,loss,SL,2025-11
2025-11-28 07:00:00+00:00,2025-12-01 14:00:00+00:00,-1,148.84000000000128,win,HALF+TP,2025-11
2025-12-02 01:00:00+00:00,2025-12-02 01:45:00+00:00,-1,-9.355357142857201,loss,SL,2025-12
2025-12-02 06:00:00+00:00,2025-12-02 08:15:00+00:00,-1,-16.14214285714013,loss,SL,2025-12
2025-12-05 01:00:00+00:00,2025-12-05 02:00:00+00:00,-1,-11.347857142854423,loss,SL,2025-12
2025-12-08 07:00:00+00:00,2025-12-08 10:15:00+00:00,-1,-32.594285714284865,loss,SL,2025-12
2025-12-10 15:00:00+00:00,2025-12-10 15:45:00+00:00,1,-15.282142857145686,loss,SL,2025-12
2025-12-12 02:00:00+00:00,2025-12-12 02:30:00+00:00,-1,-19.84571428571371,loss,SL,2025-12
2025-12-12 17:00:00+00:00,2025-12-15 06:30:00+00:00,-1,95.06428571426682,win,HALF+TP,2025-12
2025-12-17 04:00:00+00:00,2025-12-17 04:45:00+00:00,-1,-28.272142857142057,loss,SL,2025-12
2025-12-17 06:00:00+00:00,2025-12-17 06:15:00+00:00,-1,-17.79482142857205,loss,SL,2025-12
2025-12-18 15:00:00+00:00,2025-12-18 15:30:00+00:00,1,-42.07678571428346,loss,SL,2025-12
2025-12-18 23:00:00+00:00,2025-12-19 05:15:00+00:00,1,34.02964285714347,win,HALF+SL,2025-12
2025-12-22 23:00:00+00:00,2025-12-23 02:45:00+00:00,1,-30.829642857142403,loss,SL,2025-12
2025-12-30 02:00:00+00:00,2025-12-30 02:45:00+00:00,-1,-27.303928571427605,loss,SL,2025-12
2025-12-30 04:00:00+00:00,2025-12-30 12:30:00+00:00,-1,53.788571428577825,win,HALF+TP,2025-12
